NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Foraminifera,Pennate diatom,Radiozoa,Silicoflagellate
MAI20181018,Maria Island,-42.59667,148.23333,2018-10-19T08:45:00Z,2018,10,19,08:45:00,1802286425.13929,11668762.8571429,0,3128318328.11175,24050201.223545,0,6519604.76190476,0,0
YON20181011,Yongala,-19.30847,147.61842,2018-10-11T10:54:00Z,2018,10,11,10:54:00,1043314278.83637,6579239.95094444,1469557.26225,10607477.5897076,8164000.32894737,0,76677092.3,0,0
YON20180927,Yongala,-19.30847,147.61842,2018-09-27T10:52:00Z,2018,9,27,10:52:00,448819905.265303,12463195.6093106,0,2513002.10395189,1619376.28865979,0,901479.542525773,0,0
PHB20180927,Port Hacking,-34.11923,151.22667,2018-09-27T10:43:00Z,2018,9,27,10:43:00,5963891.37257813,4013027.796125,0,1316451559.441,17049670.7291667,0,1070000,0,0
ROT20180921,Rottnest Island,-32,115.41667,2018-09-21T09:27:00Z,2018,9,21,09:27:00,567031827.459421,4784128.28887521,0,12789276.1869869,24724642.1610222,0,4347326.64691092,0,806031.917077176
MAI20180919,Maria Island,-42.59667,148.23333,2018-09-20T09:50:00Z,2018,9,20,09:50:00,479326071.527019,32399323.7415591,0,27762254.7480967,29572646.6815624,0,126549415.206058,0,0
NSI20180913,North Stradbroke,-27.345,153.562,2018-09-13T10:20:00Z,2018,9,13,10:20:00,80418684.3415296,502675.068355263,376680.774671053,17776604.3415789,2583544.40789474,0,178947.368421053,0,0
PHB20180905,Port Hacking,-34.11923,151.22667,2018-09-05T10:50:00Z,2018,9,5,10:50:00,2850546658.11282,4195499.46581197,0,46680805.2564103,24837356.8376068,0,1641025.64102564,0,0
ROT20180831,Rottnest Island,-32,115.41667,2018-08-31T10:07:00Z,2018,8,31,10:07:00,398443274.823402,2550168.04835924,1302213.47150259,3243528.89831606,12886487.4784111,0,25481451.6889573,0,741820.825237478
KAI20180820,Kangaroo Island,-35.83217,136.44733,2018-08-21T08:00:00Z,2018,8,21,08:00:00,100497513.439543,2908434.74215686,0,17015277.5053105,6320396.54820261,0,842618.230392157,0,802080.780228758
