NRS_TRIP_CODE,DEPTH,PRES_REL,PRES,DENS,TEMP,PAR,CNDC,SPEC_CNDC,PSAL,TURB,CHLF
KAI20081019,70,70.581,(null),1026.9482,15.1986,14.6667,4.416218,(null),35.9259,0.9732,0.1261
KAI20100112,63,63.478,(null),1026.809,13.855,0.007,4.226401,(null),35.4118,0.4785,0.3844
KAI20100112,65,65.46,(null),1026.8397,13.8276,0.0035,4.225235,(null),35.4253,0.4689,0.3009
KAI20100112,68,68.567,(null),1026.8137,13.7318,0.0006,4.209587,(null),35.3656,0.4605,0.2849
KAI20100112,84,84.532,(null),1026.9088,13.4846,0,4.181876,(null),35.3264,0.4809,0.1167
KAI20100112,85,85.718,(null),1026.9283,13.4512,0,4.177918,(null),35.3195,0.503,0.1159
KAI20100112,87,87.555,(null),1026.9321,13.4419,0,4.176404,(null),35.313,0.5628,0.1101
KAI20090601,56,56.391,(null),1026.2352,18.0042,0.3442,4.702137,(null),35.9365,0.946,0.0674
KAI20090601,57,57.446,(null),1026.2408,18.0037,0.3241,4.702257,(null),35.9376,0.9661,0.0686
KAI20090114,35,35.239,(null),1026.0237,18.2691,20.4943,4.720229,(null),35.8667,0.965,0.0444
KAI20090114,51,51.421,(null),1026.0957,18.1558,5.5255,4.705843,(null),35.8369,1.0249,0.3252
KAI20090114,56,56.43,(null),1026.0944,18.1219,3.6754,4.697819,(null),35.7961,1.0312,0.2411
KAI20090114,66,66.492,(null),1026.1715,17.8325,1.7919,4.663062,(null),35.7479,1.037,0.1353
KAI20090114,68,68.538,(null),1026.1815,17.7945,1.5828,4.657639,(null),35.7339,1.0302,0.1364
KAI20090114,45,45.272,(null),1025.9908,18.1625,10.9373,4.693941,(null),35.7317,1.0052,0.3253
KAI20090114,52,52.441,(null),1026.0157,18.164,5.4391,4.693793,(null),35.7264,1.0373,0.306
KAI20090114,54,54.445,(null),1026.0278,18.1554,4.6087,4.693052,(null),35.7268,1.0207,0.2612
KAI20090114,56,56.374,(null),1026.034,18.1496,3.865,4.692109,(null),35.7231,1.0187,0.2497
KAI20090114,57,57.464,(null),1026.0381,18.1448,3.5616,4.691481,(null),35.7215,1.0167,0.2363
KAI20090114,62,62.486,(null),1026.0621,18.1267,2.487,4.689676,(null),35.72,1.03,0.1842
KAI20090114,65,65.488,(null),1026.0848,18.0946,2.0253,4.686972,(null),35.7238,1.0047,0.1633
KAI20090114,90,90.653,(null),1026.3356,17.6705,0.3773,4.650983,(null),35.777,1.0537,0.1277
KAI20090114,93,93.724,(null),1026.3805,17.5908,0.3156,4.645145,(null),35.7957,1.0349,0.1181
KAI20090114,96,96.581,(null),1026.4325,17.5127,0.2633,4.641107,(null),35.8286,1.0487,0.1121
KAI20090114,101,101.705,(null),1026.5393,17.307,0.1932,4.624806,(null),35.8673,1.0514,0.1054
KAI20090205,3,2.996,(null),1025.4955,19.4759,627.22,4.831447,(null),35.7693,0.8595,0.0165
KAI20090205,7,7.102,(null),1025.5201,19.462,321.8367,4.830301,(null),35.7701,0.8535,0.0186
KAI20090205,12,12.097,(null),1025.545,19.4465,266.02,4.828972,(null),35.7705,0.8592,0.022
KAI20090205,14,14.254,(null),1025.5587,19.4373,248.85,4.828232,(null),35.7715,0.8495,0.026
KAI20090205,23,23.266,(null),1025.6133,19.3707,237.6633,4.823039,(null),35.7821,0.8574,0.0347
KAI20090205,30,30.221,(null),1025.6849,19.2471,204.91,4.812194,(null),35.7954,0.8629,0.0461
KAI20090205,31,31.24,(null),1025.6954,19.2252,194.6733,4.809856,(null),35.7944,0.8744,0.0472
KAI20090205,33,33.3,(null),1025.6957,19.1559,182.3,4.80128,(null),35.7816,0.8713,0.0486
KAI20090205,48,48.354,(null),1026.1917,16.9591,83.0283,4.567004,(null),35.6924,0.8891,0.093
KAI20090205,51,51.422,(null),1026.3075,16.6421,66.894,4.535662,(null),35.6979,0.8859,0.122
KAI20090205,57,57.419,(null),1026.4117,16.3842,37.556,4.506145,(null),35.6649,0.8701,0.1608
KAI20090205,67,67.599,(null),1026.6853,16.1441,19.3995,4.508432,(null),35.8973,0.8731,0.1672
KAI20090205,71,71.524,(null),1026.6772,16.0113,16.1375,4.489478,(null),35.8465,0.9046,0.1541
KAI20090205,74,74.547,(null),1026.7028,15.8104,13.113,4.466214,(null),35.8185,0.8802,0.1457
KAI20100721,25,25.158,(null),1026.5513,15.7158,0.0506,4.454862,(null),35.8224,0.6077,0.1355
KAI20100721,26,26.069,(null),1026.557,15.7071,0.0449,4.454029,(null),35.8223,0.6119,0.1404
