NRS_CODE,STATION_NAME,Y_COORD,X_COORD,TRIP_START_DATETIME_LOCAL,SST,CHL_AVG,CHL
MAI20091111,Maria Island,-42.59667,148.23333,2009-11-11 11:30:00,14.28499357719,0.948975652,1.035249114
YON20110527,Yongala,-19.30847,147.61842,2011-05-27 10:50:00,24.14999335669,0.313312277,0.330778599
NSI20091215,North Stradbroke,-27.345,153.562,2009-12-16 09:00:00,25.329993330315,0.290513118,0.743124485
KAI20100315,Kangaroo Island,-35.83217,136.44733,2010-03-16 06:00:00,18.524271,0.37767,0.478566468
PHB20110517,Port Hacking,-34.11923,151.22667,2011-05-18 09:25:00,20.519993437827,0.600301478,0.794231653
ESP20100629,Esperance,-33.93333,121.85,2010-06-29 10:05:00,17.364993508346,0.522758722,(null)
YON20100817,Yongala,-19.30847,147.61842,2010-08-17 10:15:00,23.399993373454,0.259889852,0.19959484
NSI20111220,North Stradbroke,-27.345,153.562,2011-12-21 09:15:00,24.964993338473,0.20286425,0.195232019
ROT20111221,Rottnest Island,-32,115.41667,2011-12-21 15:45:00,22.347493396979,0.235682932,0.144725531
KAI20090601,Kangaroo Island,-35.83217,136.44733,2009-06-02 08:00:00,17.5210808,0.45072,0.325032651
KAI20090205,Kangaroo Island,-35.83217,136.44733,2009-02-05 14:05:00,(null),0.35392,0.215630561
PHB20090920,Port Hacking,-34.11923,151.22667,2009-09-21 09:17:00,17.419993507117,1.035217785,0.917355478
ESP20101013,Esperance,-33.93333,121.85,2010-10-13 08:15:00,17.374993508123,0.208003607,(null)
YON20110217,Yongala,-19.30847,147.61842,2011-02-17 11:30:00,28.139993267506,0.619696625,0.48111257
NSI20090416,North Stradbroke,-27.345,153.562,2009-04-16 10:30:00,25.209993332997,0.370330558,1.119206905
MAI20130807,Maria Island,-42.59667,148.23333,2013-08-07 11:30:00,13.584993592836,0.578568645,0.439445138
MAI20130821,Maria Island,-42.59667,148.23333,2013-08-21 11:21:00,13.074993604235,0.800261761,0.47106126
PHB20131027,Port Hacking,-34.11923,151.22667,2013-10-28 10:17:00,19.779993454367,0.661561731,0.460709453
PHB20120628,Port Hacking,-34.11923,151.22667,2012-06-28 10:00:00,19.619993457943,0.631374626,0.307269484
NSI20130706,North Stradbroke,-27.345,153.562,2013-07-07 09:40:00,21.889993407205,0.400899988,0.289756477
ROT20131001,Rottnest Island,-32,115.41667,2013-10-01 11:55:00,18.147493490856,0.265190218,0.546382964
YON20160927,Yongala,-19.30847,147.61842,2016-09-27 10:33:00,25.9456795,0.305190653,0.277288049
NSI20131121,North Stradbroke,-27.345,153.562,2013-11-22 09:55:00,23.944993361272,0.290513118,0.305887967
YON20131015,Yongala,-19.30847,147.61842,2013-10-15 11:40:00,25.829993319139,0.305190653,0.287800938
