SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
10507,Maria Island,-42.59667,148.23333,2018-01-17 10:30:00
10019,Rottnest Island,-32,115.41667,2017-04-07 09:28:00
10193,North Stradbroke,-27.345,153.562,2017-09-27 10:40:00
10705,Rottnest Island,-32,115.41667,2018-02-21 10:05:00
10950,Yongala,-19.30847,147.61842,2018-03-29 10:27:00
9423,Maria Island,-42.59667,148.23333,2017-01-05 09:45:00
11939,Rottnest Island,-32,115.41667,2019-05-27 09:28:00
11991,Port Hacking,-34.11923,151.22667,2019-05-23 08:50:00
12615,Port Hacking,-34.11923,151.22667,2019-10-29 09:30:00
12804,Kangaroo Island,-35.83217,136.44733,2019-11-27 14:25:00
12929,Yongala,-19.30847,147.61842,2020-01-16 10:05:00
11223,Yongala,-19.30847,147.61842,2018-09-27 10:52:00
11635,Port Hacking,-34.11923,151.22667,2019-02-28 10:35:00
11651,North Stradbroke,-27.345,153.562,2018-11-15 10:40:00
11728,Darwin,-12.4,130.76805,2019-02-14 07:00:00
12361,Port Hacking,-34.11923,151.22667,2019-08-28 09:59:00
77,Ningaloo,-21.99,113.779,2011-11-07 10:00:00
79,North Stradbroke,-27.345,153.562,2011-12-21 09:15:00
112,Rottnest Island,-32,115.41667,2011-05-27 09:35:00
124,Port Hacking,-34.11923,151.22667,2010-09-09 09:30:00
1795,North Stradbroke,-27.345,153.562,2013-05-20 10:05:00
1801,Port Hacking,-34.11923,151.22667,2013-02-28 08:03:00
3030,North Stradbroke,-27.345,153.562,2013-09-13 10:25:00
3042,Port Hacking,-34.11923,151.22667,2013-06-12 09:55:00
3060,Yongala,-19.30847,147.61842,2013-08-08 10:58:00
3084,Esperance,-33.93333,121.85,2013-03-14 09:24:00
3105,Rottnest Island,-32,115.41667,2013-04-23 10:38:00
3108,Rottnest Island,-32,115.41667,2013-05-17 10:00:00
3185,North Stradbroke,-27.345,153.562,2013-11-22 09:55:00
5030,Yongala,-19.30847,147.61842,2013-12-05 11:26:00
6651,Port Hacking,-34.11923,151.22667,2014-01-21 09:43:00
6657,Port Hacking,-34.11923,151.22667,2014-02-12 09:57:00
5527,Maria Island,-42.59667,148.23333,2014-07-03 11:30:00
5626,North Stradbroke,-27.345,153.562,2014-09-17 10:30:00
5745,Port Hacking,-34.11923,151.22667,2014-04-28 09:38:00
5787,Port Hacking,-34.11923,151.22667,2014-07-16 10:00:00
5815,Port Hacking,-34.11923,151.22667,2014-09-11 10:13:00
5899,Yongala,-19.30847,147.61842,2014-06-24 10:53:00
6721,Rottnest Island,-32,115.41667,2014-09-19 12:57:00
6735,Rottnest Island,-32,115.41667,2014-10-14 11:52:00
7011,Maria Island,-42.59667,148.23333,2014-11-28 09:30:00
7136,Kangaroo Island,-35.83217,136.44733,2014-12-02 06:05:00
1729,Rottnest Island,-32,115.41667,2012-05-23 12:22:00
1734,Rottnest Island,-32,115.41667,2012-08-24 11:06:00
1547,Maria Island,-42.59667,148.23333,2012-10-02 10:15:00
1473,North Stradbroke,-27.345,153.562,2012-08-06 10:15:00
1512,Yongala,-19.30847,147.61842,2012-04-24 10:50:00
1615,Darwin,-12.4,130.76805,2012-07-30 02:00:00
138,Esperance,-33.93333,121.85,2009-09-17 09:40:00
141,Rottnest Island,-32,115.41667,2009-10-26 09:53:00
154,Yongala,-19.30847,147.61842,2011-03-23 10:49:00
166,Maria Island,-42.59667,148.23333,2010-05-05 11:30:00
169,Maria Island,-42.59667,148.23333,2012-01-19 12:00:00
172,Rottnest Island,-32,115.41667,2011-02-24 09:35:00
101,North Stradbroke,-27.345,153.562,2010-12-16 08:30:00
147,North Stradbroke,-27.345,153.562,2010-11-16 09:30:00
190,Maria Island,-42.59667,148.23333,2010-10-27 12:50:00
62,Port Hacking,-34.11923,151.22667,2009-04-23 09:38:00
129,Port Hacking,-34.11923,151.22667,2012-05-18 09:33:00
144,Yongala,-19.30847,147.61842,2010-07-29 11:22:00
165,Rottnest Island,-32,115.41667,2010-04-16 08:30:00
13,Port Hacking,-34.11923,151.22667,2010-01-20 09:20:00
16,Maria Island,-42.59667,148.23333,2010-07-22 11:10:00
23,Port Hacking,-34.11923,151.22667,2009-06-24 09:10:00
31,Rottnest Island,-32,115.41667,2010-07-23 12:02:00
37,Kangaroo Island,-35.83217,136.44733,2012-04-15 10:42:00
41,Port Hacking,-34.11923,151.22667,2012-03-12 09:00:00
47,Maria Island,-42.59667,148.23333,2009-08-20 11:30:00
53,Darwin,-12.4,130.76805,2012-01-15 07:00:00
59,Maria Island,-42.59667,148.23333,2011-10-05 12:24:00
