NRS_CODE,Station,Latitude,Longitude,SampleDateLocal,Biomass_mgm3
NRSMAI20200106_ZOOBIOWC,Maria Island,-42.59667,148.23333,2020-01-07,64.62503
NRSMAI20200223_ZOOBIOWC,Maria Island,-42.59667,148.23333,2020-02-24,8.65219
NRSNIN20101108_ZOOBIOWC,Ningaloo,-21.99,113.779,2010-11-08,33.15651
NRSNIN20110209_ZOOBIOWC,Ningaloo,-21.99,113.779,2011-02-09,59.31112
NRSNIN20110501_ZOOBIOWC,Ningaloo,-21.99,113.779,2011-05-01,15.26274
NRSNIN20110706_ZOOBIOWC,Ningaloo,-21.99,113.779,2011-07-06,10.22703
NRSNIN20111107_ZOOBIOWC,Ningaloo,-21.99,113.779,2011-11-07,18.36056
NRSNIN20120226_ZOOBIOWC,Ningaloo,-21.99,113.779,2012-02-26,26.25362
NRSNIN20120509_ZOOBIOWC,Ningaloo,-21.99,113.779,2012-05-09,25.84341
NRSNIN20120827_ZOOBIOWC,Ningaloo,-21.99,113.779,2012-08-27,20.43991
NRSNIN20121107_ZOOBIOWC,Ningaloo,-21.99,113.779,2012-11-07,8.19011
NRSNIN20130209_ZOOBIOWC,Ningaloo,-21.99,113.779,2013-02-09,49.52259
NRSNIN20130509_ZOOBIOWC,Ningaloo,-21.99,113.779,2013-05-09,13.16924
NRSNIN20130806_ZOOBIOWC,Ningaloo,-21.99,113.779,2013-08-06,26.50823
NRSNSI20080929_ZOOBIOWC,North Stradbroke,-27.345,153.562,2008-09-29,13.02007
NRSNSI20081030_ZOOBIOWC,North Stradbroke,-27.345,153.562,2008-10-30,12.36425
NRSNSI20081119_ZOOBIOWC,North Stradbroke,-27.345,153.562,2008-11-19,7.27838
NRSNSI20081217_ZOOBIOWC,North Stradbroke,-27.345,153.562,2008-12-17,32.91347
NRSNSI20090114_ZOOBIOWC,North Stradbroke,-27.345,153.562,2009-01-14,18.88393
