NRS_TRIP_CODE,Station,Latitude,Longitude,SampleDateLocal,SampleDepth_m,PROCHLOROCOCCUS_CELLSPERML,SYNECOCHOCCUS_CELLSPERML,PICOEUKARYOTES_CELLSPERML
NRSKAI20191127,Kangaroo Island,-35.83217,136.44733,2019-11-27 14:25:00,20,(null),(null),(null)
NRSNSI20181115,North Stradbroke,-27.345,153.562,2018-11-15 10:40:00,10,25569.02,15380.975,4956.645
NRSNSI20181115,North Stradbroke,-27.345,153.562,2018-11-15 10:40:00,40,1202.685,1970.05,4070.975
NRSNSI20190527,North Stradbroke,-27.345,153.562,2019-05-27 10:15:00,40,(null),(null),(null)
NRSKAI20200204,Kangaroo Island,-35.83217,136.44733,2020-02-04 14:25:00,75,(null),(null),(null)
NRSMAI20190320,Maria Island,-42.59667,148.23333,2019-03-21 09:35:00,50,(null),(null),(null)
NRSROT20170626,Rottnest Island,-32,115.41667,2017-06-26 09:46:00,WC,399.5,29009,14043.5
NRSROT20190507,Rottnest Island,-32,115.41667,2019-05-07 09:40:00,30,(null),(null),(null)
NRSKAI20200527,Kangaroo Island,-35.83217,136.44733,2020-05-28 08:30:00,10,(null),(null),(null)
NRSKAI20200527,Kangaroo Island,-35.83217,136.44733,2020-05-28 08:30:00,75,(null),(null),(null)
NRSMAI20200810,Maria Island,-42.59667,148.23333,2020-08-10 10:05:00,20,(null),(null),(null)
NRSMAI20200810,Maria Island,-42.59667,148.23333,2020-08-10 10:05:00,50,(null),(null),(null)
NRSNSI20190416,North Stradbroke,-27.345,153.562,2019-04-16 10:10:00,10,(null),(null),(null)
NRSNSI20190416,North Stradbroke,-27.345,153.562,2019-04-16 10:10:00,20,(null),(null),(null)
NRSROT20190306,Rottnest Island,-32,115.41667,2019-03-06 10:24:00,46,(null),(null),(null)
NRSPHB20190626,Port Hacking,-34.11923,151.22667,2019-06-27 09:38:00,100,(null),(null),(null)
NRSYON20191107,Yongala,-19.30847,147.61842,2019-11-07 10:10:00,0,(null),(null),(null)
NRSPHB20190729,Port Hacking,-34.11923,151.22667,2019-07-29 10:03:00,50,(null),(null),(null)
NRSMAI20170921,Maria Island,-42.59667,148.23333,2017-09-22 09:15:00,75,498.555,17487.035,13381.415
NRSROT20191011,Rottnest Island,-32,115.41667,2019-10-11 10:07:00,10,(null),(null),(null)
NRSROT20191011,Rottnest Island,-32,115.41667,2019-10-11 10:07:00,20,(null),(null),(null)
NRSROT20191011,Rottnest Island,-32,115.41667,2019-10-11 10:07:00,46,(null),(null),(null)
NRSROT20191126,Rottnest Island,-32,115.41667,2019-11-26 09:30:00,30,(null),(null),(null)
NRSROT20191104,Rottnest Island,-32,115.41667,2019-11-04 09:25:00,40,(null),(null),(null)
NRSMAI20191121,Maria Island,-42.59667,148.23333,2019-11-22 09:23:00,10,(null),(null),(null)
NRSMAI20191121,Maria Island,-42.59667,148.23333,2019-11-22 09:23:00,75,(null),(null),(null)
NRSKAI20101120,Kangaroo Island,-35.83217,136.44733,2010-11-21 05:00:00,(null),(null),(null),(null)
NRSPHB20130125,Port Hacking,-34.11923,151.22667,2013-01-25 10:54:00,(null),(null),(null),(null)
NRSNSI20081030,North Stradbroke,-27.345,153.562,2008-10-30 10:30:00,(null),(null),(null),(null)
NRSKAI20110427,Kangaroo Island,-35.83217,136.44733,2011-04-28 07:35:00,(null),(null),(null),(null)
NRSROT20140919,Rottnest Island,-32,115.41667,2014-09-19 12:57:00,WC,3503.905,12027.14,15941.5
NRSNSI20161116,North Stradbroke,-27.345,153.562,2016-11-16 10:15:00,WC,3216.85,44095,3429.075
NRSPHB20090422,Port Hacking,-34.11923,151.22667,2009-04-23 09:38:00,WC,54090.75,46562.25,2961
NRSPHB20101019,Port Hacking,-34.11923,151.22667,2010-10-20 10:40:00,WC,62916,1113,1506.75
NRSYON20120208,Yongala,-19.30847,147.61842,2012-02-08 10:49:00,WC,54157.5,36685.5,703
NRSDAR20140117_19:50,Darwin,-12.4,130.76805,2014-01-18 05:20:00,WC,95,11303.5,940
NRSYON20111213,Yongala,-19.30847,147.61842,2011-12-13 12:55:00,WC,110913.25,22035.75,635.5
NRSPHB20111117,Port Hacking,-34.11923,151.22667,2011-11-18 09:36:00,WC,9429,1066,945
NRSMAI20110531,Maria Island,-42.59667,148.23333,2011-05-31 11:38:00,WC,9360.75,20422.5,6273.75
NRSROT20100924,Rottnest Island,-32,115.41667,2010-09-24 12:22:00,WC,23058,19545.75,4578
NRSMAI20110328,Maria Island,-42.59667,148.23333,2011-03-29 10:30:00,WC,14941.5,20742.75,8940.75
NRSMAI20091013,Maria Island,-42.59667,148.23333,2009-10-13 11:00:00,WC,7276.5,5271,5129.25
NRSPHB20111018,Port Hacking,-34.11923,151.22667,2011-10-19 09:31:00,WC,3990,4289.5,9592
NRSMAI20111005,Maria Island,-42.59667,148.23333,2011-10-05 12:24:00,WC,6667.5,4284,12741.75
NRSPHB20090714,Port Hacking,-34.11923,151.22667,2009-07-15 09:15:00,WC,5061,4100.25,2971.75
NRSNSI20111220,North Stradbroke,-27.345,153.562,2011-12-21 09:15:00,WC,29216.25,47979.75,21803.25
NRSPHB20110228,Port Hacking,-34.11923,151.22667,2011-03-01 09:30:00,WC,20574.75,19661.25,9906.75
NRSROT20111221,Rottnest Island,-32,115.41667,2011-12-21 15:45:00,WC,35395.5,8410.5,4610
NRSPHB20100908,Port Hacking,-34.11923,151.22667,2010-09-09 09:30:00,WC,52143,1270.5,5292
NRSNSI20111116,North Stradbroke,-27.345,153.562,2011-11-16 10:00:00,WC,17192,19285,16691.5
NRSROT20091026,Rottnest Island,-32,115.41667,2009-10-26 09:53:00,WC,22375.5,9397.5,15860.25
NRSYON20111027,Yongala,-19.30847,147.61842,2011-10-27 13:44:00,WC,29893.5,20312.25,456.75
NRSPHB20100609,Port Hacking,-34.11923,151.22667,2010-06-09 10:53:00,WC,11103.75,11130,2536
NRSROT20110725,Rottnest Island,-32,115.41667,2011-07-25 10:20:00,WC,18301.5,15141,6016.5
NRSROT20111122,Rottnest Island,-32,115.41667,2011-11-22 15:08:00,WC,5491.5,708.75,5318.25
NRSROT20110622,Rottnest Island,-32,115.41667,2011-06-22 10:00:00,WC,43979.25,21614.25,3937.5
NRSMAI20090601,Maria Island,-42.59667,148.23333,2009-06-01 11:20:00,WC,4683,11130,4488.75
NRSNSI20100916,North Stradbroke,-27.345,153.562,2010-09-16 12:45:00,WC,9644.25,14306.25,3192
NRSDAR20140403,Darwin,-12.4,130.76805,2014-04-04 08:03:00,WC,730,31059.5,1685.5
NRSKAI20110718,Kangaroo Island,-35.83217,136.44733,2011-07-19 09:00:00,WC,28213.5,28581,4956
