NRS_TRIP_CODE,SAMPLE_DEPTH_M,TSS_MG_PER_L,TSS_FLAG,INORGANIC_FRACTION_MG_PER_L,ORGANIC_FRACTION_MG_PER_L,SECCHI_DEPTH_M,SECCHI_FLAG
NRSDAR20121208_20:00,0,4,1,3.6,0.5,(null),0
NRSDAR20121208_20:00,0,3.9,1,3,0.9,(null),0
NRSDAR20121208_23:30,0,3.9,1,3.4,0.5,4.5,0
NRSDAR20121208_23:30,0,3.6,1,3.1,0.6,4.5,0
NRSDAR20121209_03:00,0,4.4,1,3.5,0.8,5,1
NRSDAR20121209_03:00,0,3.8,1,3,0.8,5,1
NRSYON20121219,0,1.4,1,0.9,0.5,18,0
NRSYON20121219,0,0.9,1,0.4,0.4,18,0
NRSYON20121129,0,1.1,1,0.5,0.6,16,0
NRSYON20121129,0,1.3,1,0.6,0.7,16,0
NRSYON20121026,0,1.5,1,1,0.5,20,0
NRSYON20121026,0,1.5,1,1,0.5,20,0
NRSYON20120918,0,0.8,1,0.4,0.5,21,0
NRSYON20120918,0,0.8,1,0.4,0.4,21,0
NRSNSI20130111,0,1.3,1,0.6,0.7,14,1
NRSNSI20130111,0,1.2,1,0.8,0.4,14,1
NRSNSI20130123,0,0.8,1,0.3,0.5,22,1
NRSNSI20130123,0,0.8,1,0.4,0.4,22,1
NRSPHB20120821,0,0.5,1,0,0.6,16,0
NRSPHB20120821,0,2.8,1,2,0.8,16,0
NRSMAI20121017,0,0.3,1,0.1,0.3,13,1
NRSMAI20121017,0,0.8,1,0.4,0.4,13,1
NRSDAR20121029,0,11.1,1,8.4,2.7,1.8,0
NRSDAR20121029,0,11.7,1,8.8,2.9,1.8,0
NRSPHB20121009,0,11.9,4,9.2,2.7,10,0
NRSPHB20121009,0,1,1,0.3,0.7,10,0
NRSPHB20120917,0,0.8,1,0.1,0.8,16.5,0
NRSPHB20120917,0,0.9,1,0.4,0.5,16.5,0
NRSESP20121212,0,0.8,1,0.3,0.5,11.5,0
NRSESP20121212,0,0.9,1,0.4,0.5,11.5,0
NRSNIN20121107,0,0.6,1,0.5,0.1,14.5,0
NRSNIN20121107,0,0.5,1,0.5,0.1,14.5,0
NRSNIN20130209,0,0.7,1,0.2,0.5,23,0
NRSNIN20130209,0,0.6,1,0.3,0.2,23,0
NRSROT20120928,0,1,1,0.6,0.3,15,0
NRSROT20120928,0,1.2,1,0.9,0.3,15,0
NRSROT20121019,0,0.7,1,0.3,0.3,25,1
NRSROT20121019,0,0.7,1,0.7,0,25,1
NRSROT20121126,0,0.6,1,0.3,0.3,22,1
NRSROT20121126,0,0.6,1,0.3,0.3,22,1
NRSROT20130125,0,0.7,1,0.4,0.3,14,1
NRSROT20130125,0,0.9,1,0.5,0.4,14,1
NRSMAI20121112,0,0.6,1,0.1,0.4,10,0
NRSMAI20121112,0,0.7,1,0.2,0.4,10,0
NRSMAI20130129,0,0.6,1,0.2,0.4,10,1
NRSMAI20130129,0,0.6,1,0.2,0.4,10,1
NRSDAR20130405,0,9,1,8.1,0.9,4.5,1
NRSDAR20130405,0,8.6,1,7.6,1,4.5,1
NRSNSI20130326,0,1.2,1,0.6,0.7,13,1
NRSNSI20130326,0,1.2,1,0.5,0.7,13,1
NRSNSI20130418,0,0.5,1,0.3,0.3,34,1
NRSNSI20130418,0,0.4,1,0.3,0.1,34,1
NRSMAI20130313,0,1.3,1,0.7,0.6,15,1
NRSMAI20130313,0,1,1,0.6,0.4,15,1
NRSMAI20130424,0,0.5,1,0.3,0.2,15,0
