NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
YON20131114,5017,Yongala,-19.30847,147.61842,2013-11-14 10:32:00
YON20131205,5031,Yongala,-19.30847,147.61842,2013-12-05 11:26:00
MAI20140516,5497,Maria Island,-42.59667,148.23333,2014-05-16 10:20:00
MAI20141029,6774,Maria Island,-42.59667,148.23333,2014-10-30 09:27:00
ROT20150924,8308,Rottnest Island,-32,115.41667,2015-09-24 10:08:00
KAI20101213,1252,Kangaroo Island,-35.83217,136.44733,2010-12-14 08:30:00
MAI20100722,1303,Maria Island,-42.59667,148.23333,2010-07-22 11:10:00
ESP20101013,1316,Esperance,-33.93333,121.85,2010-10-13 08:15:00
YON20110908,1397,Yongala,-19.30847,147.61842,2011-09-08 11:00:00
YON20111213,1399,Yongala,-19.30847,147.61842,2011-12-13 12:55:00
PHB20120311,1412,Port Hacking,-34.11923,151.22667,2012-03-12 09:00:00
ROT20110224,1324,Rottnest Island,-32,115.41667,2011-02-24 09:35:00
ESP20130314,3086,Esperance,-33.93333,121.85,2013-03-14 09:24:00
ROT20110622,1389,Rottnest Island,-32,115.41667,2011-06-22 10:00:00
ROT20120523,3207,Rottnest Island,-32,115.41667,2012-05-23 12:22:00
MAI20130424,3285,Maria Island,-42.59667,148.23333,2013-04-24 10:50:00
DAR20120730_01:30,1441,Darwin,-12.4,130.76805,2012-07-30 11:00:00
YON20120918,1492,Yongala,-19.30847,147.61842,2012-09-18 11:00:00
YON20121026,1490,Yongala,-19.30847,147.61842,2012-10-26 11:20:00
ROT20130321,3104,Rottnest Island,-32,115.41667,2013-03-21 11:34:00
KAI20140122,5624,Kangaroo Island,-35.83217,136.44733,2014-01-22 15:15:00
NSI20140917,5628,North Stradbroke,-27.345,153.562,2014-09-17 10:30:00
NSI20141107,6868,North Stradbroke,-27.345,153.562,2014-11-07 10:35:00
KAI20110718,1366,Kangaroo Island,-35.83217,136.44733,2011-07-19 09:00:00
MAI20111214,1405,Maria Island,-42.59667,148.23333,2011-12-15 10:35:00
KAI20120415,3289,Kangaroo Island,-35.83217,136.44733,2012-04-15 10:42:00
KAI20130506,1782,Kangaroo Island,-35.83217,136.44733,2013-05-07 07:55:00
DAR20130617_08:00,3068,Darwin,-12.4,130.76805,2013-06-17 17:30:00
PHB20140716,5775,Port Hacking,-34.11923,151.22667,2014-07-16 10:00:00
YON20140820,5915,Yongala,-19.30847,147.61842,2014-08-20 11:15:00
MAI20150224,7369,Maria Island,-42.59667,148.23333,2015-02-25 10:20:00
DAR20150804_04:30,8167,Darwin,-12.4,130.76805,2015-08-04 14:00:00
NSI20151216,8396,North Stradbroke,-27.345,153.562,2015-12-16 10:30:00
NSI20160120,8411,North Stradbroke,-27.345,153.562,2016-01-20 10:30:00
ROT20150701,7747,Rottnest Island,-32,115.41667,2015-07-01 09:46:00
MAI20160209,8428,Maria Island,-42.59667,148.23333,2016-02-10 10:45:00
ROT20160621,8887,Rottnest Island,-32,115.41667,2016-06-21 09:26:00
ROT20160722,9144,Rottnest Island,-32,115.41667,2016-07-22 13:20:00
YON20160927,9332,Yongala,-19.30847,147.61842,2016-09-27 10:33:00
ROT20170626,10053,Rottnest Island,-32,115.41667,2017-06-26 09:46:00
PHB20170614,9975,Port Hacking,-34.11923,151.22667,2017-06-15 08:52:00
PHB20160829,9311,Port Hacking,-34.11923,151.22667,2016-08-30 09:20:00
KAI20170315,9667,Kangaroo Island,-35.83217,136.44733,2017-03-15 12:27:00
MAI20171015,10286,Maria Island,-42.59667,148.23333,2017-10-16 09:50:00
PHB20170321,9807,Port Hacking,-34.11923,151.22667,2017-03-22 09:21:00
NSI20170627,9884,North Stradbroke,-27.345,153.562,2017-06-27 10:20:00
PHB20170921,10317,Port Hacking,-34.11923,151.22667,2017-09-22 08:48:00
YON20160823,9129,Yongala,-19.30847,147.61842,2016-08-23 10:19:00
DAR20170203_0630,9792,Darwin,-12.4,130.76805,2017-02-03 16:00:00
PHB20170821,10480,Port Hacking,-34.11923,151.22667,2017-08-22 09:50:00
ROT20181211,11491,Rottnest Island,-32,115.41667,2018-12-11 09:24:00
YON20180425,11108,Yongala,-19.30847,147.61842,2018-04-26 09:48:00
MAI20190320,11700,Maria Island,-42.59667,148.23333,2019-03-21 09:35:00
DAR20180209_0030,10537,Darwin,-12.4,130.76805,2018-02-09 10:00:00
ROT20180620,11066,Rottnest Island,-32,115.41667,2018-06-20 09:56:00
YON20190124,11568,Yongala,-19.30847,147.61842,2019-01-24 11:12:00
YON20191107,12525,Yongala,-19.30847,147.61842,2019-11-07 10:10:00
NSI20200228,12701,North Stradbroke,-27.345,153.562,2020-02-28 10:30:00
NSI20090720,1091,North Stradbroke,-27.345,153.562,2009-07-20 11:07:00
MAI20091207,1114,Maria Island,-42.59667,148.23333,2009-12-07 11:10:00
PHB20100119,1152,Port Hacking,-34.11923,151.22667,2010-01-20 09:20:00
ROT20100520,1233,Rottnest Island,-32,115.41667,2010-05-20 10:05:00
NSI20091115,1115,North Stradbroke,-27.345,153.562,2009-11-16 08:20:00
NSI20090618,1090,North Stradbroke,-27.345,153.562,2009-06-18 13:30:00
NSI20091215,1118,North Stradbroke,-27.345,153.562,2009-12-16 09:00:00
PHB20091018,1124,Port Hacking,-34.11923,151.22667,2009-10-19 09:55:00
